Company Name,Industry,Symbol,Series,ISIN Code,YF_Symbol
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,HDFCLIFE.NS
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,HFCL.NS
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,HAVELLS.NS
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,HEROMOTOCO.NS
Hexaware Technologies Ltd.,Information Technology,HEXT,EQ,INE093A01041,HEXT.NS
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026,HSCL.NS
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,HINDALCO.NS
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,HAL.NS
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,HINDCOPPER.NS
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,HINDPETRO.NS
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,HINDUNILVR.NS
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,HINDZINC.NS
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,POWERINDIA.NS
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,HOMEFIRST.NS
Honasa Consumer Ltd.,Fast Moving Consumer Goods,HONASA,EQ,INE0J5401028,HONASA.NS
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,HONAUT.NS
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,HUDCO.NS
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,EQ,INE0V6F01027,HYUNDAI.NS
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,ICICIBANK.NS
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,ICICIGI.NS
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC,EQ,INE346A01027,ICICIAMC.NS
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,ICICIPRULI.NS
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,IDBI.NS
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,IDFCFIRSTB.NS
IFCI Ltd.,Financial Services,IFCI,EQ,INE039A01010,IFCI.NS
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,IIFL.NS
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022,IRB.NS
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,IRCON.NS
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,EQ,INE379A01028,ITCHOTELS.NS
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,ITC.NS
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,ITI.NS
Indegene Ltd.,Healthcare,INDGN,EQ,INE065X01017,INDGN.NS
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,INDIACEM.NS
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,INDIAMART.NS
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,INDIANB.NS
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,IEX.NS
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,INDHOTEL.NS
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,IOC.NS
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,IOB.NS
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,IRCTC.NS
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,IRFC.NS
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016,IREDA.NS
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,IGL.NS
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,INDUSTOWER.NS
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,INDUSINDBK.NS
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032,NAUKRI.NS
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,INFY.NS
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011,INOXWIND.NS
Intellect Design Arena Ltd.,Information Technology,INTELLECT,EQ,INE306R01017,INTELLECT.NS
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027,INDIGO.NS
International Gemological Institute Ltd.,Services,IGIL,EQ,INE0Q9301021,IGIL.NS
Inventurus Knowledge Solutions Ltd.,Information Technology,IKS,EQ,INE115Q01022,IKS.NS
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038,IPCALAB.NS
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014,JKCEMENT.NS
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01051,JBMA.NS
JK Tyre & Industries Ltd.,Automobile and Auto Components,JKTYRE,EQ,INE573A01042,JKTYRE.NS
JM Financial Ltd.,Financial Services,JMFINANCIL,EQ,INE780C01023,JMFINANCIL.NS
JSW Cement Ltd.,Construction Materials,JSWCEMENT,EQ,INE718I01012,JSWCEMENT.NS
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011,JSWDULUX.NS
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,JSWENERGY.NS
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026,JSWINFRA.NS
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,JSWSTEEL.NS
Jain Resource Recycling Ltd.,Metals & Mining,JAINREC,EQ,INE0YD401026,JAINREC.NS
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018,JPPOWER.NS
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041,J&KBANK.NS
Jindal Saw Ltd.,Capital Goods,JINDALSAW,EQ,INE324A01032,JINDALSAW.NS
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021,JSL.NS
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,JINDALSTEL.NS
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,JIOFIN.NS
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020,JUBLFOOD.NS
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018,JUBLINGREA.NS
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033,JUBLPHARMA.NS
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016,JWL.NS
Jyoti CNC Automation Ltd.,Capital Goods,JYOTICNC,EQ,INE980O01024,JYOTICNC.NS
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031,KPRMILL.NS
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027,KEI.NS
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011,KPITTECH.NS
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036,KAJARIACER.NS
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022,KPIL.NS
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014,KALYANKJIL.NS
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028,KARURVYSYA.NS
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012,KAYNES.NS
Kec International Ltd.,Construction,KEC,EQ,INE389H01022,KEC.NS
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010,KFINTECH.NS
Kirloskar Oil Eng Ltd.,Capital Goods,KIRLOSENG,EQ,INE146L01010,KIRLOSENG.NS
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036,KOTAKBANK.NS
Krishna Institute of Medical Sciences Ltd.,Healthcare,KIMS,EQ,INE967H01025,KIMS.NS
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015,LTF.NS
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017,LTTS.NS
LG Electronics India Ltd.,Consumer Durables,LGEINDIA,EQ,INE324D01010,LGEINDIA.NS
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,LICHSGFIN.NS
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020,LTFOODS.NS
LTM Ltd.,Information Technology,LTM,EQ,INE214T01019,LTM.NS
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,LT.NS
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011,LATENTVIEW.NS
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028,LAURUSLABS.NS
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,EQ,INE0AQ201015,THELEELA.NS
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,EQ,INE970X01018,LEMONTREE.NS
Lenskart Solutions Ltd.,Consumer Services,LENSKART,EQ,INE956O01016,LENSKART.NS
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,LICI.NS
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,LINDEINDIA.NS
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,LLOYDSME.NS
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,LODHA.NS
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,LUPIN.NS
MMTC Ltd.,Services,MMTC,EQ,INE123F01029,MMTC.NS
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,MRF.NS
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010,MGL.NS
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,M&MFIN.NS
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,M&M.NS
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027,MANAPPURAM.NS
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014,MRPL.NS
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,MANKIND.NS
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,MARICO.NS
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,MARUTI.NS
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,MFSL.NS
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,MAXHEALTH.NS
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,MAZDOCK.NS
Meesho Ltd.,Consumer Services,MEESHO,EQ,INE0VDM01015,MEESHO.NS
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021,MINDACORP.NS
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015,MSUMI.NS
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,MOTILALOFS.NS
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,MPHASIS.NS
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043,MCX.NS
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,MUTHOOTFIN.NS
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026,NATCOPHARM.NS
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031,NBCC.NS
NCC Ltd.,Construction,NCC,EQ,INE868B01028,NCC.NS
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NHPC.NS
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,NLCINDIA.NS
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NMDC.NS
NMDC Steel Ltd.,Metals & Mining,NSLNISP,EQ,INE0NNS01018,NSLNISP.NS
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,NTPCGREEN.NS
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NTPC.NS
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011,NH.NS
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,NATIONALUM.NS
Nava Ltd.,Power,NAVA,EQ,INE725A01030,NAVA.NS
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026,NAVINFLUOR.NS
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,NESTLEIND.NS
Netweb Technologies India Ltd.,Information Technology,NETWEB,EQ,INE0NT901020,NETWEB.NS
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010,NEULANDLAB.NS
Newgen Software Technologies Ltd.,Information Technology,NEWGEN,EQ,INE619B01017,NEWGEN.NS
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,NAM-INDIA.NS
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015,NIVABUPA.NS
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023,NUVAMA.NS
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,EQ,INE118D01016,NUVOCO.NS
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,OBEROIRLTY.NS
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,ONGC.NS
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,OIL.NS
Ola Electric Mobility Ltd.,Automobile and Auto Components,OLAELEC,EQ,INE0LXG01040,OLAELEC.NS
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016,OLECTRA.NS
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,PAYTM.NS
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE,EQ,INE013P01021,ONESOURCE.NS
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,OFSS.NS
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,POLICYBZR.NS
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031,PCBL.NS
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,PGEL.NS
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,PIIND.NS
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,PNBHOUSING.NS
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,PTCIL.NS
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,PVRINOX.NS
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,PAGEIND.NS
Paradeep Phosphates Ltd.,Chemicals,PARADEEP,EQ,INE088F01024,PARADEEP.NS
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,PATANJALI.NS
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,PERSISTENT.NS
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,PETRONET.NS
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,PFIZER.NS
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,PHOENIXLTD.NS
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011,PWL.NS
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,PIDILITIND.NS
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018,PINELABS.NS
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,EQ,INE202B01038,PIRAMALFIN.NS
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,PPLPHARMA.NS
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,POLYMED.NS
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,POLYCAB.NS
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,POONAWALLA.NS
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,PFC.NS
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,POWERGRID.NS
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,PREMIERENE.NS
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,PRESTIGE.NS
Prime Focus Ltd.,Media Entertainment & Publication,PFOCUS,EQ,INE367G01038,PFOCUS.NS
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,PNB.NS
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,RRKABEL.NS
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,RBLBANK.NS
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,RECLTD.NS
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,RHIM.NS
RITES Ltd.,Construction,RITES,EQ,INE320J01015,RITES.NS
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,RADICO.NS
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,RVNL.NS
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,RAILTEL.NS
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,RAINBOW.NS
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,RKFORGE.NS
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,REDINGTON.NS
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,RELIANCE.NS
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,RPOWER.NS
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,SBFC.NS
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,SBICARD.NS
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,SBILIFE.NS
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,SJVN.NS
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,SRF.NS
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,SAGILITY.NS
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,SAILIFE.NS
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,SAMMAANCAP.NS
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,MOTHERSON.NS
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,SAPPHIRE.NS
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021,SARDAEN.NS
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,SAREGAMA.NS
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,SCHAEFFLER.NS
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,SCHNEIDER.NS
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,SCI.NS
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,SHREECEM.NS
